,Dataset,row,col,T2,T3,C1_regr,L1,S3,Model,MAE,MSE,R2,complexity,Duration
0,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,decision_tree_regressor,0.2585115129416432,0.1382445336303652,0.7272426535839767,106.0,0.0302173810846665
1,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,ebm,0.2145625994104534,0.0803899070927437,0.8341980184014159,130.0,3.007649947615231
2,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,glm,0.2131224731175522,0.0787849704291188,0.837320803375285,0.0,20.50098628390069
3,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,igann,0.2145723517312378,0.0799205363737503,0.835209402589721,0.0,126.27131810842776
4,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,knn,0.2454747267759562,0.1191103853597449,0.7690397965220774,0.0,0.0168412923812866
5,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,lasso,0.2146273145359784,0.0793021924076485,0.8364121117491569,28.0,0.0192237554811963
6,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,linear_regression,1386033228.9689991,4.687454991424538e+20,-9.663168987861885e+20,30.0,0.0203183398527257
7,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,poly_lasso,0.2394263290262607,0.1121097968080233,0.7805555992532263,27.0,1.6288967857173844
8,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,symbolic_regression,0.3522014352459016,0.2458728008972059,0.4914139008388544,8.0,207.44097604003608
9,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,decision_tree_regressor,0.5073009111036277,0.4194135589981616,0.3687768378279554,131.0,0.0958731548458922
10,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,ebm,0.5079914379871903,0.3900282402541788,0.4129328512180013,88.0,12.911193590538174
11,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,glm,0.5066884739903785,0.3848069272321803,0.4208042476656727,0.0,12.805806421766096
12,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,igann,0.5057427175045013,0.3845727623318024,0.419872846157706,0.0,125.63146828670128
13,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,knn,0.52948,0.4578101961950059,0.3109194587959445,0.0,0.1868719657262166
14,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,lasso,0.505597993071443,0.3836608786785852,0.4200637744504308,19.5,0.0541170928992477
15,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,linear_regression,0.504591620415491,0.3816255612727741,0.4223376259451005,21.0,0.3623175480786492
16,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,poly_lasso,0.5038813824368016,0.3999610167105889,0.3919201140654819,53.5,45.62507866410648
17,1028_SWD,1000,21,0.021,0.017,0.3093088591269288,0.489479712329627,0.646,symbolic_regression,0.5794684128,0.51538393536912,0.213433168679002,8.0,284.4709005706451
18,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,decision_tree_regressor,0.5379356992082749,0.4616461567669044,0.4711382210384405,73.0,0.0293247582865696
19,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,ebm,0.4809204849592117,0.3852919457782044,0.5752069284384929,64.0,3.404066625763388
20,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,glm,0.4840626525693594,0.3895639089544735,0.5754663119563279,0.0,10.049391293058209
21,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,igann,0.480743054151535,0.3829661116852102,0.5768599511504376,0.0,128.89149498238282
22,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,knn,0.4905333333333332,0.4410712499999999,0.49394943052176,0.0,0.1535290269290699
23,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,lasso,0.4807493788851071,0.3830446250912306,0.5765864515324053,16.0,0.0089293274224973
24,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,linear_regression,0.4759481905358184,0.3766728734811085,0.5810522532476093,16.0,0.0171626268648633
25,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,poly_lasso,0.630927421132213,0.5823079894701922,0.3180960522447549,11.0,21.727490114230736
26,1029_LEV,1000,16,0.016,0.013,0.4197283983830004,0.4808561263562497,0.63,symbolic_regression,0.60339285305,0.6385856003761291,0.2805341787289215,10.0,285.80292906246933
27,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,decision_tree_regressor,0.4215949705854261,0.2747358455373693,0.35347659105158,31.0,0.1006263073752908
28,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,ebm,0.4140875297198774,0.2616280383924991,0.383968271522383,87.5,3.440357257338132
