,Dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration
20,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,38,0.02375,0.0175,0.9982239272520602,0.414375,1.0,0.5584386540843864,0.7077607879790504,naive_bayes,0.4916600329998094,0.49375,0.4879459642481459,0.49375,152.0,0.09710237091662836
21,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,decision_tree,0.5178648307618205,0.5175000000000001,0.5150478000796727,0.5175,19.0,0.0757360341502171
22,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,ebm,0.5076828030165713,0.5068750000000001,0.5006371997630699,0.506875,168.0,10.604137334169126
23,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,gosdt,0.6640511327252745,0.6637500000000001,0.6635968609488775,0.6637500000000001,15.0,33.99446503087586
24,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,igann,0.5043831911313155,0.504375,0.5041374766734175,0.504375,0.0,104.35739760305367
25,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,knn,0.5259720943639317,0.5237499999999999,0.5083040250244653,0.52375,0.0,0.3202626518174714
26,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,logistic_regression,0.506265664160401,0.50625,0.5060412983165115,0.50625,0.0,6.327947922781402
27,GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,40,0.025,0.018125,0.9957172580736566,0.468125,1.0,0.5670476775286473,0.7075265882799004,naive_bayes,0.4974570237005391,0.4975,0.4906808597413086,0.4975,160.0,0.034862088222129675
28,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,decision_tree,0.505005097678952,0.5049999999999999,0.5049504834456338,0.505,28.0,0.10002866445803175
29,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,ebm,0.7269369480064577,0.7268749999999999,0.7268139835791109,0.7268749999999999,167.5,18.221129094853122
30,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,gosdt,0.6699109964893444,0.665,0.662223546257281,0.665,9.0,35.18266707074408
31,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,igann,0.4729072435946141,0.473125,0.4721538395412874,0.473125,0.0,114.55834435949139
32,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,knn,0.5915553341104602,0.59125,0.5902114722689893,0.59125,0.0,0.2145375130223293
33,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,logistic_regression,0.4899957162695632,0.49,0.4899536107718211,0.49,0.0,3.5629473106533873
34,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,1600,39,0.024375,0.0175,0.9977943510252482,0.4425,1.0,0.5383509327144445,0.6921684219245483,naive_bayes,0.487831309924705,0.49125,0.4763188861400123,0.49125,156.0,0.05974922460668227
35,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,decision_tree,0.5018761949356253,0.501875,0.4991533578786439,0.5018750000000001,36.0,0.06573817776698693
36,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,ebm,0.7209765349379131,0.71375,0.7113297358288633,0.71375,164.0,10.016514600491993
37,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,gosdt,0.7271095524208462,0.71125,0.7060871776268289,0.7112499999999999,7.0,16.186734031228458
38,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,1600,39,0.024375,0.018125,0.9982540680215098,0.4325,1.0,0.5722130915952036,0.7118231157244034,igann,0.505006515689163,0.505,0.5048390281051586,0.505,0.0,103.04222325016471
