,Dataset,row,col,T2,T3,C1_regr,L1,S3,Model,MAE,MSE,R2,complexity,Duration
0,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,decision_tree_regressor,1.0134431366569647,1.1859285339294483,0.0,89.0,0.02096222194970823
1,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,ebm,0.4146844933397571,0.2542132060097254,0.0,128.0,4.091340513790355
2,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,glm,0.3949668916855628,0.2314854813768763,0.0,0.0,24.15393179771947
3,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,igann,0.3962899949815538,0.2337019125931327,0.0,0.0,113.52321141841365
4,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,knn,0.5722222222222223,0.4623971193415638,0.0,0.0,0.06599525610605876
5,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,lasso,0.3920584846098363,0.2319743107053367,0.0,0.0,0.048925652223474836
6,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,linear_regression,0.3969261093271514,0.2349260435246929,0.0,0.0,0.012151285713794185
7,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,poly_lasso,0.5181663636040056,0.3607832208852839,0.0,0.0,13.273579237507839
8,1027_ESL,488,30,0.0614754098360655,0.0327868852459016,0.491254446385445,0.1899485391788467,0.1460040983606557,symbolic_regression,0.60419921875,0.5088839689890544,0.0,9.0,105.9816482628093
9,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,decision_tree_regressor,0.8450628124127257,0.933645274150348,-14.258820511408906,31.0,0.01993516847199085
10,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,ebm,0.7541458244477449,0.813973105829698,-12.302985477297376,78.0,0.835908945868997
11,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,glm,0.6837941418472898,0.7201717433326834,-10.769964110729564,0.0,1.1510989572487624
12,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,igann,0.7413909405577874,0.8091056317755726,-12.223435015261966,0.0,32.067729865803436
13,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,knn,0.7944072835377184,0.8427259907193017,-12.772901752635384,0.0,0.019339933114893293
14,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,lasso,0.6833532663700521,0.7276611986823504,-10.892366331436758,0.0,0.014346959544163124
15,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,linear_regression,0.6833594889748151,0.7277442295574098,-10.893723327776282,0.0,0.020269076029459637
16,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,poly_lasso,0.7586145247799209,0.8230886120829612,-12.451962693420224,0.0,0.016686451201345407
17,1030_ERA,1000,4,0.004,0.004,0.4285692522790145,0.4159722653694522,0.5978888888888888,symbolic_regression,0.6904185006038648,0.7976436048030701,-12.036107968135308,5.0,105.75905015188106
18,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,decision_tree_regressor,0.5277511961722489,0.3938705615713926,-12.520361493123772,51.0,0.01083971472347484
19,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,ebm,0.2338477244467602,0.0905623365150874,-4.118288628848787,443.5,2.01275756779839
20,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,glm,0.2703671666143306,0.1059602590756219,-5.429824130778124,0.0,12.958322690982445
21,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,igann,0.3028601452833015,0.1209609098040265,-4.629685239442793,0.0,102.43513615926106
22,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,knn,0.4080656185919343,0.1949150473586564,-10.5875420113357,0.0,0.014434861201866
23,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,lasso,0.2675595944645765,0.0897171156708128,-4.079162794973966,0.0,0.05266333795061298
24,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,linear_regression,0.2942842137451208,0.0981369869477316,-5.341568200061175,0.0,0.00411712889577828
25,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,poly_lasso,0.3906414631432693,0.1764489446628615,-5.956736824612913,0.0,0.07806196399763518
26,1089_USCrime,47,13,0.2765957446808511,0.1489361702127659,0.8703446811528438,0.1587423359512755,0.1743584918192485,symbolic_regression,0.4986481281719431,0.2952837429514986,-56.518992196975546,23.0,105.52002744347442
27,1096_FacultySalaries,50,4,0.08,0.04,0.9176075041257648,0.2482993049557486,0.3677225405757025,decision_tree_regressor,0.5723414784436204,0.4099211079410359,-21.272107845732226,27.0,0.06627375004338283
