,Dataset,row,col,T2,T3,F1,N3,C1_clf,Model,Precision,Recall,Fbeta,Accuracy,complexity,Duration,E3,E5
0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,decision_tree,0.5013308726808315,0.50125,0.5008114773093044,0.50125,66.0,0.5797539879294002,0.7024963130516844,0.8270935567727383
1,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,ebm,0.7978057040998218,0.76125,0.7555063248341398,0.76125,7878.0,128.26761779831904,0.7024963130516844,0.8270935567727383
2,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,gosdt,0.4961694629587068,0.4962499999999999,0.4862418665031146,0.4962499999999999,5.0,126.18886324704862,0.7024963130516844,0.8270935567727383
3,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,igann,0.5087545427979945,0.50875,0.5085556777896424,0.50875,0.0,300.0,0.7024963130516844,0.8270935567727383
4,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,knn,0.489769820971867,0.49,0.4872981948442402,0.49,0.0,0.7341474131041882,0.7024963130516844,0.8270935567727383
5,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,logistic_regression,0.4987499687492187,0.49875,0.4985232269952713,0.49875,0.0,3.7515072518703985,0.7024963130516844,0.8270935567727383
6,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,1600,1969,1.230625,0.585625,0.9936231884057972,0.509375,1.0,naive_bayes,0.4972931318830941,0.4975,0.4958676851428237,0.4974999999999999,7876.0,0.027129175616245643,0.7024963130516844,0.8270935567727383
7,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,decision_tree,0.5275065066602814,0.5275000000000001,0.5273953352435252,0.5275000000000001,39.0,0.008293420660729502,0.59574442234285,0.7211413006959588
8,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,ebm,0.6851103580118179,0.6637500000000001,0.656109068627451,0.6637500000000001,170.0,1.4375538101383285,0.59574442234285,0.7211413006959588
9,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,gosdt,0.6928011085125625,0.66125,0.6465656962105923,0.66125,7.0,6.05336511368845,0.59574442234285,0.7211413006959588
10,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,igann,0.497550102163666,0.4974999999999999,0.496681533605673,0.4974999999999999,0.0,0.3149435239679673,0.59574442234285,0.7211413006959588
11,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,knn,0.5493096394172278,0.5475000000000001,0.5438805985680986,0.5475000000000001,0.0,0.025356157153260474,0.59574442234285,0.7211413006959588
12,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,logistic_regression,0.4874504090760659,0.4875,0.4871340344562805,0.4875,0.0,0.37620126967336615,0.59574442234285,0.7211413006959588
13,GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,40,0.025,0.018125,0.9975817798799632,0.47125,1.0,naive_bayes,0.5075270975511843,0.5075000000000001,0.5036445434945398,0.5075000000000001,160.0,0.0051146208071241196,0.59574442234285,0.7211413006959588
14,GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,38,0.02375,0.0175,0.9982239272520602,0.414375,1.0,decision_tree,0.6587403790727193,0.65375,0.6512043845649653,0.65375,51.0,0.12036471740872252,0.5584386540843864,0.7077607879790504
