dataset,row,col,T2,T3,C1_regr,L1,S3
523_analcatdata_neavote,100,4,0.04,0.02,0.8647488665524461,0.06867994212610422,0.0378125
527_analcatdata_election2000,67,14,0.208955223880597,0.014925373134328358,0.9901029611301781,2.5108439374078635e-15,1.1206132100742892
529_pollen,3848,4,0.0010395010395010396,0.0007796257796257797,0.5394794112920854,0.27137838347353027,0.26812897535469454
537_houses,20640,8,0.0003875968992248062,0.0001937984496124031,0.6767781095942506,0.3498056494071897,0.29031254889617814
542_pollution,60,15,0.25,0.11666666666666667,0.6087923118807262,0.2726628934285325,0.476739113362635
547_no2,500,7,0.014,0.012,0.5071719465988884,0.4022513066339867,0.46364073960002355
556_analcatdata_apnea2,475,9,0.018947368421052633,0.016842105263157894,0.32126174773063987,13.3377831686809,87.73585352683926
557_analcatdata_apnea1,475,9,0.018947368421052633,0.016842105263157894,0.315186050283636,20.94959939615908,249.46033516745337
560_bodyfat,252,14,0.05555555555555555,0.031746031746031744,0.9934043231872762,0.0374422026565813,0.14098395753211707
561_cpu,209,7,0.03349282296650718,0.028708133971291867,0.94062381513894,0.439846100048185,0.5155055707642843
562_cpu_small,8192,12,0.00146484375,0.0001220703125,0.7347261749171922,0.47412924072954543,0.09937534670857989
564_fried,40768,10,0.0002452904238618524,0.0002452904238618524,0.5777474070929529,0.28661998455960674,0.14928605603490702
573_cpu_act,8192,21,0.0025634765625,0.000244140625,0.809354700871191,0.4652245484246409,0.1270470252403846
574_house_16H,22784,16,0.0007022471910112359,0.00017556179775280898,0.5984613376215207,0.7242393935169461,1.7171031573905682
579_fri_c0_250_5,250,5,0.02,0.02,0.5265749531992511,0.27417144744519456,0.1758545922761575
581_fri_c3_500_25,500,25,0.05,0.042,0.4493876855507421,0.5212216907747692,0.6703641510510638
582_fri_c1_500_25,500,25,0.05,0.046,0.45885725942903777,0.4905124295132614,0.7469252071406672
583_fri_c1_1000_50,1000,50,0.05,0.046,0.4045904245904246,0.4784361019908336,0.682987495061501
584_fri_c4_500_25,500,25,0.05,0.04,0.4426924267697071,0.4877766884833886,0.6085454938904513
586_fri_c3_1000_25,1000,25,0.025,0.021,0.46188274188274187,0.5143149748149076,0.5947853507649693
588_fri_c4_1000_100,1000,100,0.1,0.088,0.43409816609816615,0.5049849447576285,0.9499836842650159
