dataset,row,col,T2,T3,F1,N3,C1_clf,E3,E5
chess,3196,37,0.011576971214017523,0.007509386733416771,0.7954392181726581,0.08979974968710888,0.9985755386554581,0.23876840991842327,0.33031627658240226
churn,5000,29,0.0058,0.0028,0.9328554546075407,0.1498,0.5878935751446988,0.19724994515490432,0.2557437388017003
clean1,476,168,0.35294117647058826,0.012605042016806723,0.2319286570037221,0.1092436974789916,0.9877270579926237,0.28937893930288533,0.4031862654942828
clean2,6598,168,0.025462261291300393,0.0006062443164595332,0.452677337599672,0.04395271294331616,0.6200985590130879,0.10285247368388416,0.15186256986286062
coil2000,9822,527,0.05365506006923233,0.01873345550804317,0.9731158402428899,0.09814701690083485,0.32610165528193497,0.1367813892508367,0.18205568178572715
congressional_voting_records,435,32,0.0735632183908046,0.04827586206896552,0.20762131818632495,0.06666666666666667,0.9623080486960708,0.09499612076425752,0.12327309023489945
corral,160,6,0.0375,0.0375,0.7540829866411263,0.04375,0.9886994082884974,0.18365916681089786,0.23261369851068828
credit_approval_australia,653,25,0.03828483920367534,0.0015313935681470138,0.45413189063362724,0.20367534456355282,0.993696072075439,0.33891163247646544,0.44353862291239876
credit_approval_germany,1000,54,0.054,0.034,0.8960352162845003,0.32,0.8812908992306926,0.4848602003807704,0.6109304631605349
dis,3772,31,0.008218451749734889,0.003181336161187699,0.9946029316098007,0.02518557794273595,0.11462655853364577,0.03067478130722844,0.04452878980587655
glass2,163,9,0.05521472392638037,0.024539877300613498,0.8657946758136673,0.13496932515337423,0.9967123557000845,0.28731955544036175,0.36640282038215427
haberman,306,3,0.00980392156862745,0.00980392156862745,0.9177643624489821,0.32679738562091504,0.833764907210665,0.453145983471333,0.5589249229776936
heart_disease_cleveland,297,20,0.06734006734006734,0.04713804713804714,0.7429155273648012,0.24579124579124578,0.995669657677634,0.35866099915932925,0.4849091382982059
heart_disease_hungarian,261,12,0.04597701149425287,0.034482758620689655,0.6887926330944345,0.25287356321839083,0.9547862499685204,0.3623926088414269,0.4649001602523468
heart_disease_va_long_beach,100,12,0.12,0.09,0.8702694364459072,0.24,0.7601675029619656,0.2938546668974366,0.3910981414299035
heart_disease_zurich,105,13,0.12380952380952381,0.08571428571428572,0.8440721649484535,0.09523809523809523,0.38861174916944274,0.14867646837072684,0.16525155886772622
hepatitis,155,29,0.1870967741935484,0.1032258064516129,0.8181969199499686,0.23870967741935484,0.7346451526501955,0.25475303783447123,0.34789093909275925
hypothyroid,3163,26,0.008220044261776794,0.0003161555485298767,0.978118166594704,0.04110022130888397,0.27671573102958635,0.06735524296574188,0.09071747724805783
ionosphere,351,33,0.09401709401709402,0.05698005698005698,0.7304887518480649,0.1168091168091168,0.9418285354475157,0.17267101153161338,0.23150477802967945
